name,AAC_3__II-.match,AAC_6___I-_3.match,ANT_3____IIa+.match,APH_3___Ia.match,APH_3____Ib.match,APH_6__Id.match,Escherichia_coli_23S.match,MCR_1.match,MdtK.match,Mrx.match,QnrS-.match,TEM_-.match,aadA2.match,arr_-.match,catII_from_Escherichia.match,cmlA-.match,dfrA12.match,dfrA14.match,floR+.match,golS.match,linG+.match,mdsA.match,mdsB.match,mdsC.match,mphA.match,rrsB+.match,sdiA.match,sul2.match,sul3.match,tet_A_.match,tet_B_.match,tet_M_.match
ariba.Stm1/report.tsv,no,yes,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,yes,no,yes,yes,no,no,no,no,no
ariba.Stm10/report.tsv,yes,yes,yes,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no
ariba.Stm11/report.tsv,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,yes,no
ariba.Stm12/report.tsv,no,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no
ariba.Stm13/report.tsv,no,yes,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,yes,no,yes,yes,no,no,no,no,no
ariba.Stm14/report.tsv,no,yes,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,yes,no,yes,yes,yes,no,no,no,no
ariba.Stm15/report.tsv,no,yes,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,yes,no,yes,yes,no,no,no,no,no
ariba.Stm16/report.tsv,no,yes,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,yes,no,yes,yes,no,no,no,no,no
ariba.Stm17/report.tsv,no,yes,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,yes,no,yes,yes,no,no,no,no,no
ariba.Stm18/report.tsv,yes,yes,yes,yes,yes,yes,no,no,yes,no,yes,yes,yes,no,no,no,no,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,yes,no
ariba.Stm19/report.tsv,no,yes,yes,no,no,no,yes,no,yes,no,yes,yes,yes,no,no,yes,yes,no,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes
ariba.Stm2/report.tsv,no,yes,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,yes,yes,yes,no,yes,yes,no,no,no,no,no
ariba.Stm20/report.tsv,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no
ariba.Stm21/report.tsv,yes,yes,yes,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no
ariba.Stm22/report.tsv,no,yes,yes,no,no,no,yes,yes,yes,no,yes,yes,yes,no,no,yes,yes,no,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes
ariba.Stm23/report.tsv,no,yes,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,yes,yes,no,no,yes,no,yes,yes,yes,no,yes,yes,yes,yes,no,no,no
ariba.Stm24/report.tsv,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,yes,no,yes,yes,no,no,no,no,no
ariba.Stm3/report.tsv,no,yes,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,yes,no,yes,yes,no,no,no,no,no
ariba.Stm5/report.tsv,no,yes,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,yes,no,yes,yes,no,no,no,no,no
ariba.Stm7/report.tsv,no,yes,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,yes,no,yes,yes,yes,no,no,no,no
ariba.Stm8/report.tsv,no,yes,no,yes,yes,yes,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,yes,yes,yes,no,yes,yes,yes,no,no,yes,no
ariba.Stm9/report.tsv,no,yes,yes,no,no,no,yes,no,yes,no,yes,yes,yes,no,no,yes,yes,no,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes
